Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.64412500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.70576500e-06,3.46953125e-03
-5.66576500e-06,1.66640625e-03
-5.62576500e-06,-3.00156250e-03
-5.58576500e-06,-2.85156250e-04
-5.54576500e-06,4.50000000e-04
-5.50576500e-06,1.46640625e-03
-5.46576500e-06,1.55625000e-03
-5.42576500e-06,1.39375000e-03
-5.38576500e-06,-1.23906250e-03
-5.34576500e-06,-1.52343750e-03
-5.30576500e-06,-1.05078125e-03
-5.26576500e-06,-9.19531250e-04
-5.22576500e-06,-1.68750000e-04
-5.18576500e-06,9.57031250e-04
-5.14576500e-06,-1.24062500e-03
-5.10576500e-06,-9.91406250e-04
-5.06576500e-06,1.56250000e-06
-5.02576500e-06,-2.12500000e-04
-4.98576500e-06,-1.59453125e-03
-4.94576500e-06,-5.43750000e-04
-4.90576500e-06,-1.60000000e-03
-4.86576500e-06,-9.61718750e-04
-4.82576500e-06,9.14062500e-05
-4.78576500e-06,7.93750000e-04
-4.74576500e-06,-4.38281250e-04
-4.70576500e-06,-1.26953125e-03
-4.66576500e-06,-1.15078125e-03
-4.62576500e-06,9.60937500e-05
-4.58576500e-06,-1.08359375e-03
-4.54576500e-06,-1.76484375e-03
-4.50576500e-06,1.45390625e-03
-4.46576500e-06,1.37968750e-03
-4.42576500e-06,9.48437500e-04
-4.38576500e-06,-1.20156250e-03
-4.34576500e-06,4.73437500e-04
-4.30576500e-06,2.10468750e-03
-4.26576500e-06,2.81250000e-03
-4.22576500e-06,2.51562500e-03
-4.18576500e-06,-5.77343750e-04
-4.14576500e-06,-2.07500000e-03
-4.10576500e-06,3.43750000e-05
-4.06576500e-06,-1.38671875e-03
-4.02576500e-06,1.00078125e-03
-3.98576500e-06,5.76562500e-04
-3.94576500e-06,-2.66562500e-03
-3.90576500e-06,1.37968750e-03
-3.86576500e-06,2.80859375e-03
-3.82576500e-06,-3.02343750e-04
-3.78576500e-06,8.39062500e-04
-3.74576500e-06,1.93515625e-03
-3.70576500e-06,-2.10703125e-03
-3.66576500e-06,-4.80468750e-04
-3.62576500e-06,-1.23750000e-03
-3.58576500e-06,-2.80468750e-03
-3.54576500e-06,-5.16406250e-04
-3.50576500e-06,-5.85937500e-05
-3.46576500e-06,1.93203125e-03
-3.42576500e-06,3.23203125e-03
-3.38576500e-06,9.17968750e-04
-3.34576500e-06,3.33593750e-04
-3.30576500e-06,6.25781250e-04
-3.26576500e-06,1.43125000e-03
-3.22576500e-06,-2.12109375e-03
-3.18576500e-06,-2.55468750e-04
-3.14576500e-06,-6.75781250e-04
-3.10576500e-06,-4.21875000e-04
-3.06576500e-06,9.00000000e-04
-3.02576500e-06,-6.07812500e-04
-2.98576500e-06,3.12500000e-04
-2.94576500e-06,-6.96093750e-04
-2.90576500e-06,-1.13593750e-03
-2.86576500e-06,-7.92968750e-04
-2.82576500e-06,-1.17187500e-05
-2.78576500e-06,2.46406250e-03
-2.74576500e-06,4.05468750e-04
-2.70576500e-06,-1.99375000e-03
-2.66576500e-06,-2.06484375e-03
-2.62576500e-06,-8.39843750e-04
-2.58576500e-06,-2.75781250e-04
-2.54576500e-06,1.57578125e-03
-2.50576500e-06,1.99687500e-03
-2.46576500e-06,-1.50781250e-04
-2.42576500e-06,-7.01562500e-04
-2.38576500e-06,-1.66718750e-03
-2.34576500e-06,-1.32578125e-03
-2.30576500e-06,-8.46093750e-04
-2.26576500e-06,1.59375000e-04
-2.22576500e-06,1.83515625e-03
-2.18576500e-06,-7.78906250e-04
-2.14576500e-06,-1.76250000e-03
-2.10576500e-06,-4.53125000e-05
-2.06576500e-06,9.91406250e-04
-2.02576500e-06,1.68750000e-04
-1.98576500e-06,4.89843750e-04
-1.94576500e-06,-7.85156250e-04
-1.90576500e-06,-1.41953125e-03
-1.86576500e-06,-6.82812500e-04
-1.82576500e-06,1.63359375e-03
-1.78576500e-06,2.81250000e-04
-1.74576500e-06,-6.41406250e-04
-1.70576500e-06,-2.44843750e-03
-1.66576500e-06,9.93750000e-04
-1.62576500e-06,1.79062500e-03
-1.58576500e-06,-9.22656250e-04
-1.54576500e-06,3.12500000e-06
-1.50576500e-06,1.16406250e-03
-1.46576500e-06,1.42656250e-03
-1.42576500e-06,5.79687500e-04
-1.38576500e-06,-4.28906250e-04
-1.34576500e-06,-2.18203125e-03
-1.30576500e-06,-1.68984375e-03
-1.26576500e-06,-9.24218750e-04
-1.22576500e-06,1.13203125e-03
-1.18576500e-06,-1.37500000e-04
-1.14576500e-06,6.65625000e-04
-1.10576500e-06,6.99218750e-04
-1.06576500e-06,5.55468750e-04
-1.02576500e-06,1.22187500e-03
-9.85765000e-07,-6.50000000e-04
-9.45765000e-07,8.89843750e-04
-9.05765000e-07,9.15625000e-04
-8.65765000e-07,-3.61718750e-04
-8.25765000e-07,-1.40312500e-03
-7.85765000e-07,-9.67187500e-04
-7.45765000e-07,-1.43906250e-03
-7.05765000e-07,-4.66406250e-04
-6.65765000e-07,1.50781250e-04
-6.25765000e-07,-7.22656250e-04
-5.85765000e-07,9.33593750e-04
-5.45765000e-07,1.84375000e-03
