Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.40412500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.69616500e-06,-4.59375000e-04
-5.65616500e-06,3.96093750e-04
-5.61616500e-06,7.16406250e-04
-5.57616500e-06,-1.10937500e-04
-5.53616500e-06,7.14062500e-04
-5.49616500e-06,1.04062500e-03
-5.45616500e-06,-1.67109375e-03
-5.41616500e-06,4.72656250e-04
-5.37616500e-06,-1.36640625e-03
-5.33616500e-06,-4.68750000e-05
-5.29616500e-06,8.55468750e-04
-5.25616500e-06,4.89062500e-04
-5.21616500e-06,2.24062500e-03
-5.17616500e-06,-9.60937500e-04
-5.13616500e-06,-1.98125000e-03
-5.09616500e-06,-1.93750000e-03
-5.05616500e-06,-1.37890625e-03
-5.01616500e-06,-1.34687500e-03
-4.97616500e-06,3.07812500e-04
-4.93616500e-06,6.07031250e-04
-4.89616500e-06,-2.71875000e-04
-4.85616500e-06,-1.59375000e-03
-4.81616500e-06,3.96875000e-04
-4.77616500e-06,2.85156250e-04
-4.73616500e-06,-8.89843750e-04
-4.69616500e-06,-8.19531250e-04
-4.65616500e-06,-1.31640625e-03
-4.61616500e-06,-4.90625000e-04
-4.57616500e-06,-2.71093750e-04
-4.53616500e-06,-6.70312500e-04
-4.49616500e-06,-2.02343750e-04
-4.45616500e-06,6.84375000e-04
-4.41616500e-06,2.78750000e-03
-4.37616500e-06,-1.35703125e-03
-4.33616500e-06,-1.01640625e-03
-4.29616500e-06,-2.27343750e-04
-4.25616500e-06,6.64843750e-04
-4.21616500e-06,1.20312500e-04
-4.17616500e-06,-1.05468750e-03
-4.13616500e-06,-1.09531250e-03
-4.09616500e-06,-3.75781250e-04
-4.05616500e-06,-6.18750000e-04
-4.01616500e-06,1.87812500e-03
-3.97616500e-06,-3.62500000e-04
-3.93616500e-06,-4.96093750e-04
-3.89616500e-06,6.12500000e-04
-3.85616500e-06,4.25000000e-04
-3.81616500e-06,-7.50000000e-05
-3.77616500e-06,-3.78125000e-04
-3.73616500e-06,-5.33593750e-04
-3.69616500e-06,-6.33593750e-04
-3.65616500e-06,-1.57421875e-03
-3.61616500e-06,-1.15781250e-03
-3.57616500e-06,1.50625000e-03
-3.53616500e-06,2.40703125e-03
-3.49616500e-06,2.35703125e-03
-3.45616500e-06,5.69531250e-04
-3.41616500e-06,-3.51562500e-05
-3.37616500e-06,-2.61562500e-03
-3.33616500e-06,-2.48906250e-03
-3.29616500e-06,-1.79843750e-03
-3.25616500e-06,6.67187500e-04
-3.21616500e-06,-1.77031250e-03
-3.17616500e-06,-1.67343750e-03
-3.13616500e-06,-5.58593750e-04
-3.09616500e-06,4.35937500e-04
-3.05616500e-06,-1.50234375e-03
-3.01616500e-06,1.54609375e-03
-2.97616500e-06,2.54531250e-03
-2.93616500e-06,-4.49218750e-04
-2.89616500e-06,-6.44531250e-04
-2.85616500e-06,-1.84218750e-03
-2.81616500e-06,-1.38125000e-03
-2.77616500e-06,2.30468750e-04
-2.73616500e-06,-4.38281250e-04
-2.69616500e-06,4.64843750e-04
-2.65616500e-06,2.50625000e-03
-2.61616500e-06,1.44062500e-03
-2.57616500e-06,-2.17031250e-03
-2.53616500e-06,-1.43281250e-03
-2.49616500e-06,-1.17031250e-03
-2.45616500e-06,-2.29687500e-03
-2.41616500e-06,-1.65859375e-03
-2.37616500e-06,1.18281250e-03
-2.33616500e-06,2.38203125e-03
-2.29616500e-06,1.93671875e-03
-2.25616500e-06,-5.13281250e-04
-2.21616500e-06,-2.65000000e-03
-2.17616500e-06,-5.71875000e-04
-2.13616500e-06,-1.00781250e-04
-2.09616500e-06,7.48437500e-04
-2.05616500e-06,-1.02343750e-03
-2.01616500e-06,1.61171875e-03
-1.97616500e-06,-5.83593750e-04
-1.93616500e-06,-3.25625000e-03
-1.89616500e-06,-3.35937500e-04
-1.85616500e-06,-1.33515625e-03
-1.81616500e-06,9.92187500e-04
-1.77616500e-06,3.12421875e-03
-1.73616500e-06,1.06562500e-03
-1.69616500e-06,1.63359375e-03
-1.65616500e-06,-1.24843750e-03
-1.61616500e-06,-1.89296875e-03
-1.57616500e-06,-5.32968750e-03
-1.53616500e-06,-2.65390625e-03
-1.49616500e-06,1.80312500e-03
-1.45616500e-06,3.06718750e-03
-1.41616500e-06,5.73437500e-04
-1.37616500e-06,-2.08593750e-04
-1.33616500e-06,-1.64140625e-03
-1.29616500e-06,-1.58203125e-03
-1.25616500e-06,1.28984375e-03
-1.21616500e-06,2.38515625e-03
-1.17616500e-06,2.34218750e-03
-1.13616500e-06,-4.48437500e-04
-1.09616500e-06,-8.56250000e-04
-1.05616500e-06,-7.65625000e-05
-1.01616500e-06,5.62500000e-05
-9.76165000e-07,-1.68593750e-03
-9.36165000e-07,-7.85937500e-04
-8.96165000e-07,7.89062500e-05
-8.56165000e-07,-8.40625000e-04
-8.16165000e-07,-2.97500000e-03
-7.76165000e-07,-1.20000000e-03
-7.36165000e-07,-9.11718750e-04
-6.96165000e-07,2.15625000e-04
-6.56165000e-07,1.55625000e-03
-6.16165000e-07,6.90625000e-04
-5.76165000e-07,-7.19531250e-04
-5.36165000e-07,5.42187500e-04
