Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.50000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.70000000e-06,2.29140625e-03
-5.66000000e-06,-4.17968750e-04
-5.62000000e-06,-4.15078125e-03
-5.58000000e-06,-4.58437500e-03
-5.54000000e-06,-6.64687500e-03
-5.50000000e-06,-2.32187500e-03
-5.46000000e-06,-2.39296875e-03
-5.42000000e-06,-1.77187500e-03
-5.38000000e-06,8.22656250e-04
-5.34000000e-06,-4.96875000e-04
-5.30000000e-06,2.62500000e-04
-5.26000000e-06,1.25312500e-03
-5.22000000e-06,2.71484375e-03
-5.18000000e-06,2.97421875e-03
-5.14000000e-06,7.68750000e-04
-5.10000000e-06,3.67187500e-05
-5.06000000e-06,-6.10937500e-04
-5.02000000e-06,-2.36328125e-03
-4.98000000e-06,-4.23437500e-04
-4.94000000e-06,-6.21093750e-04
-4.90000000e-06,1.95468750e-03
-4.86000000e-06,3.59140625e-03
-4.82000000e-06,1.89843750e-04
-4.78000000e-06,-8.45312500e-04
-4.74000000e-06,-1.03671875e-03
-4.70000000e-06,-7.07812500e-04
-4.66000000e-06,-3.26562500e-04
-4.62000000e-06,-1.62109375e-03
-4.58000000e-06,1.43750000e-04
-4.54000000e-06,1.55546875e-03
-4.50000000e-06,3.27890625e-03
-4.46000000e-06,4.31718750e-03
-4.42000000e-06,-7.07031250e-04
-4.38000000e-06,-1.95859375e-03
-4.34000000e-06,4.24218750e-04
-4.30000000e-06,2.66093750e-03
-4.26000000e-06,-1.81562500e-03
-4.22000000e-06,-3.00000000e-03
-4.18000000e-06,-2.13359375e-03
-4.14000000e-06,-2.79921875e-03
-4.10000000e-06,-9.32812500e-04
-4.06000000e-06,2.18437500e-03
-4.02000000e-06,1.01171875e-03
-3.98000000e-06,-1.18515625e-03
-3.94000000e-06,-2.72421875e-03
-3.90000000e-06,-2.35156250e-04
-3.86000000e-06,1.46562500e-03
-3.82000000e-06,1.12734375e-03
-3.78000000e-06,9.41406250e-04
-3.74000000e-06,-1.04296875e-03
-3.70000000e-06,-2.36718750e-04
-3.66000000e-06,2.44140625e-03
-3.62000000e-06,3.47656250e-04
-3.58000000e-06,-2.42812500e-03
-3.54000000e-06,-2.92812500e-03
-3.50000000e-06,-2.21328125e-03
-3.46000000e-06,-2.20468750e-03
-3.42000000e-06,-7.35156250e-04
-3.38000000e-06,-1.05000000e-03
-3.34000000e-06,-4.96875000e-04
-3.30000000e-06,7.91406250e-04
-3.26000000e-06,4.93515625e-03
-3.22000000e-06,4.94921875e-03
-3.18000000e-06,2.44531250e-03
-3.14000000e-06,-1.62421875e-03
-3.10000000e-06,-4.51093750e-03
-3.06000000e-06,-1.88046875e-03
-3.02000000e-06,2.18203125e-03
-2.98000000e-06,2.29218750e-03
-2.94000000e-06,2.25859375e-03
-2.90000000e-06,-1.60156250e-03
-2.86000000e-06,-3.96406250e-03
-2.82000000e-06,-3.59531250e-03
-2.78000000e-06,-8.00781250e-04
-2.74000000e-06,-1.33750000e-03
-2.70000000e-06,1.23281250e-03
-2.66000000e-06,5.21718750e-03
-2.62000000e-06,6.41406250e-03
-2.58000000e-06,1.46171875e-03
-2.54000000e-06,-1.47500000e-03
-2.50000000e-06,-4.55000000e-03
-2.46000000e-06,-3.87265625e-03
-2.42000000e-06,-1.82734375e-03
-2.38000000e-06,-8.84375000e-04
-2.34000000e-06,2.69609375e-03
-2.30000000e-06,5.27343750e-04
-2.26000000e-06,-3.67968750e-04
-2.22000000e-06,1.63515625e-03
-2.18000000e-06,2.12421875e-03
-2.14000000e-06,-1.26484375e-03
-2.10000000e-06,-2.16406250e-04
-2.06000000e-06,1.51484375e-03
-2.02000000e-06,1.32812500e-04
-1.98000000e-06,8.67187500e-05
-1.94000000e-06,-1.10937500e-04
-1.90000000e-06,-1.42656250e-03
-1.86000000e-06,-1.44765625e-03
-1.82000000e-06,1.40000000e-03
-1.78000000e-06,1.29687500e-04
-1.74000000e-06,-1.39609375e-03
-1.70000000e-06,-9.77343750e-04
-1.66000000e-06,-8.46093750e-04
-1.62000000e-06,1.53125000e-04
-1.58000000e-06,-8.67968750e-04
-1.54000000e-06,-6.21875000e-04
-1.50000000e-06,2.50000000e-04
-1.46000000e-06,1.42968750e-03
-1.42000000e-06,-1.15546875e-03
-1.38000000e-06,-2.27343750e-03
-1.34000000e-06,-8.21875000e-04
-1.30000000e-06,1.95390625e-03
-1.26000000e-06,4.67812500e-03
-1.22000000e-06,6.30390625e-03
-1.18000000e-06,3.63359375e-03
-1.14000000e-06,-1.62968750e-03
-1.10000000e-06,-3.81640625e-03
-1.06000000e-06,-5.33906250e-03
-1.02000000e-06,-1.42578125e-03
-9.80000000e-07,-1.46875000e-04
-9.40000000e-07,-1.49296875e-03
-9.00000000e-07,2.29687500e-04
-8.60000000e-07,2.77500000e-03
-8.20000000e-07,6.12421875e-03
-7.80000000e-07,3.46093750e-04
-7.40000000e-07,-3.80390625e-03
-7.00000000e-07,-2.26250000e-03
-6.60000000e-07,-4.39062500e-04
-6.20000000e-07,-2.24296875e-03
-5.80000000e-07,-2.46250000e-03
-5.40000000e-07,-9.60156250e-04
