Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.41212500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.69648500e-06,-1.03125000e-03
-5.65648500e-06,-3.46093750e-04
-5.61648500e-06,2.71093750e-04
-5.57648500e-06,8.40625000e-04
-5.53648500e-06,6.57031250e-04
-5.49648500e-06,3.25000000e-04
-5.45648500e-06,5.23437500e-05
-5.41648500e-06,7.10937500e-04
-5.37648500e-06,1.64062500e-03
-5.33648500e-06,1.91484375e-03
-5.29648500e-06,-1.26640625e-03
-5.25648500e-06,-8.64062500e-04
-5.21648500e-06,-1.61015625e-03
-5.17648500e-06,-1.00781250e-03
-5.13648500e-06,5.64062500e-04
-5.09648500e-06,-4.11718750e-04
-5.05648500e-06,-1.09140625e-03
-5.01648500e-06,-2.58593750e-04
-4.97648500e-06,-6.02343750e-04
-4.93648500e-06,-1.00859375e-03
-4.89648500e-06,1.03906250e-03
-4.85648500e-06,1.57187500e-03
-4.81648500e-06,-1.76171875e-03
-4.77648500e-06,-1.04140625e-03
-4.73648500e-06,1.71093750e-04
-4.69648500e-06,1.04375000e-03
-4.65648500e-06,-4.00000000e-04
-4.61648500e-06,-4.94531250e-04
-4.57648500e-06,2.45312500e-04
-4.53648500e-06,-6.33593750e-04
-4.49648500e-06,1.53125000e-04
-4.45648500e-06,-1.18203125e-03
-4.41648500e-06,8.05468750e-04
-4.37648500e-06,7.78906250e-04
-4.33648500e-06,-5.88281250e-04
-4.29648500e-06,-7.28125000e-04
-4.25648500e-06,-8.85156250e-04
-4.21648500e-06,2.08125000e-03
-4.17648500e-06,1.17500000e-03
-4.13648500e-06,5.75781250e-04
-4.09648500e-06,1.66562500e-03
-4.05648500e-06,3.25000000e-04
-4.01648500e-06,9.21093750e-04
-3.97648500e-06,-1.36796875e-03
-3.93648500e-06,-9.19531250e-04
-3.89648500e-06,-4.57812500e-04
-3.85648500e-06,1.64843750e-04
-3.81648500e-06,7.89062500e-05
-3.77648500e-06,-2.03906250e-03
-3.73648500e-06,-2.64843750e-04
-3.69648500e-06,-1.48593750e-03
-3.65648500e-06,5.07812500e-04
-3.61648500e-06,-1.37812500e-03
-3.57648500e-06,-2.55937500e-03
-3.53648500e-06,-4.35937500e-04
-3.49648500e-06,1.23984375e-03
-3.45648500e-06,-2.14687500e-03
-3.41648500e-06,1.21250000e-03
-3.37648500e-06,-3.75000000e-05
-3.33648500e-06,-1.29843750e-03
-3.29648500e-06,1.64375000e-03
-3.25648500e-06,-5.71093750e-04
-3.21648500e-06,2.36250000e-03
-3.17648500e-06,1.50781250e-04
-3.13648500e-06,-5.82812500e-04
-3.09648500e-06,2.36718750e-04
-3.05648500e-06,1.23281250e-03
-3.01648500e-06,-4.36718750e-04
-2.97648500e-06,-6.59375000e-04
-2.93648500e-06,-3.05625000e-03
-2.89648500e-06,-4.18203125e-03
-2.85648500e-06,-2.29687500e-04
-2.81648500e-06,9.82031250e-04
-2.77648500e-06,4.67968750e-04
-2.73648500e-06,2.23671875e-03
-2.69648500e-06,8.76562500e-04
-2.65648500e-06,-2.66640625e-03
-2.61648500e-06,-1.55000000e-03
-2.57648500e-06,4.16406250e-04
-2.53648500e-06,4.14062500e-04
-2.49648500e-06,8.00781250e-04
-2.45648500e-06,-4.29687500e-05
-2.41648500e-06,4.30468750e-04
-2.37648500e-06,1.07812500e-03
-2.33648500e-06,4.33593750e-04
-2.29648500e-06,8.54687500e-04
-2.25648500e-06,-1.32500000e-03
-2.21648500e-06,-2.24218750e-03
-2.17648500e-06,4.87500000e-04
-2.13648500e-06,-4.32812500e-04
-2.09648500e-06,-1.86953125e-03
-2.05648500e-06,-1.83593750e-03
-2.01648500e-06,-8.67187500e-04
-1.97648500e-06,-1.23203125e-03
-1.93648500e-06,-3.75000000e-04
-1.89648500e-06,1.59687500e-03
-1.85648500e-06,6.60937500e-04
-1.81648500e-06,2.38203125e-03
-1.77648500e-06,7.33593750e-04
-1.73648500e-06,-3.71093750e-04
-1.69648500e-06,-1.84062500e-03
-1.65648500e-06,-4.45312500e-05
-1.61648500e-06,3.47656250e-04
-1.57648500e-06,9.89062500e-04
-1.53648500e-06,-2.26562500e-05
-1.49648500e-06,6.93750000e-04
-1.45648500e-06,7.68750000e-04
-1.41648500e-06,-7.13281250e-04
-1.37648500e-06,-7.03125000e-06
-1.33648500e-06,-1.53984375e-03
-1.29648500e-06,-1.03515625e-03
-1.25648500e-06,-2.25859375e-03
-1.21648500e-06,-7.48437500e-04
-1.17648500e-06,2.69609375e-03
-1.13648500e-06,2.34375000e-03
-1.09648500e-06,1.46015625e-03
-1.05648500e-06,-4.35937500e-04
-1.01648500e-06,-1.15156250e-03
-9.76485000e-07,-1.29375000e-03
-9.36485000e-07,-1.13593750e-03
-8.96485000e-07,6.21875000e-04
-8.56485000e-07,3.00000000e-04
-8.16485000e-07,-1.64921875e-03
-7.76485000e-07,-1.37656250e-03
-7.36485000e-07,-1.79218750e-03
-6.96485000e-07,3.39843750e-04
-6.56485000e-07,2.03593750e-03
-6.16485000e-07,8.78125000e-04
-5.76485000e-07,6.47656250e-04
-5.36485000e-07,1.43203125e-03
-4.96485000e-07,-1.22343750e-03
