X: (),Y: (Hits)
1.24556e-08,104
1.25755e-08,95
1.26955e-08,109
1.28154e-08,69
1.29353e-08,81
1.30553e-08,72
1.31752e-08,90
1.32952e-08,70
1.34151e-08,88
1.3535e-08,57
1.3655e-08,56
1.37749e-08,62
1.38949e-08,46
1.40148e-08,63
1.41348e-08,62
1.42547e-08,52
1.43746e-08,55
1.44946e-08,48
1.46145e-08,38
1.47345e-08,55
1.48544e-08,46
1.49743e-08,42
1.50943e-08,48
1.52142e-08,43
1.53342e-08,40
1.54541e-08,34
1.5574e-08,29
1.5694e-08,32
1.58139e-08,36
1.59339e-08,37
1.60538e-08,33
1.61738e-08,33
1.62937e-08,31
1.64136e-08,44
1.65336e-08,24
1.66535e-08,21
1.67735e-08,27
1.68934e-08,22
1.70133e-08,20
1.71333e-08,27
1.72532e-08,22
1.73732e-08,22
1.74931e-08,22
1.7613e-08,12
1.7733e-08,21
1.78529e-08,16
1.79729e-08,16
1.80928e-08,19
1.82128e-08,21
1.83327e-08,13
1.84526e-08,12
1.85726e-08,9
1.86925e-08,8
1.88125e-08,12
1.89324e-08,11
1.90523e-08,6
1.91723e-08,12
1.92922e-08,10
1.94122e-08,10
1.95321e-08,5
1.9652e-08,6
1.9772e-08,6
1.98919e-08,12
2.00119e-08,5
2.01318e-08,7
2.02518e-08,7
2.03717e-08,5
2.04916e-08,4
2.06116e-08,5
2.07315e-08,4
2.08515e-08,4
2.09714e-08,1
2.10913e-08,5
2.12113e-08,3
2.13312e-08,7
2.14512e-08,5
2.15711e-08,4
2.1691e-08,2
2.1811e-08,6
2.19309e-08,7
2.20509e-08,7
2.21708e-08,3
2.22908e-08,4
2.24107e-08,1
2.25306e-08,5
2.26506e-08,0
2.27705e-08,3
2.28905e-08,2
2.30104e-08,4
2.31303e-08,2
2.32503e-08,1
2.33702e-08,6
2.34902e-08,1
2.36101e-08,1
2.373e-08,0
2.385e-08,2
2.39699e-08,2
2.40899e-08,0
2.42098e-08,2
2.43298e-08,2
2.44497e-08,0
2.45696e-08,0
2.46896e-08,1
2.48095e-08,2
2.49295e-08,1
2.50494e-08,1
2.51693e-08,1
2.52893e-08,0
2.54092e-08,0
2.55292e-08,0
2.56491e-08,1
2.5769e-08,1
2.5889e-08,0
2.60089e-08,0
2.61289e-08,0
2.62488e-08,0
2.63688e-08,0
2.64887e-08,1
2.66086e-08,1
2.67286e-08,0
2.68485e-08,0
2.69685e-08,0
2.70884e-08,1
2.72083e-08,3
2.73283e-08,1
2.74482e-08,0
2.75682e-08,1
2.76881e-08,0
2.7808e-08,0
2.7928e-08,1
2.80479e-08,0
2.81679e-08,0
2.82878e-08,1
2.84078e-08,0
2.85277e-08,0
2.86476e-08,0
2.87676e-08,0
2.88875e-08,1
2.90075e-08,0
2.91274e-08,0
2.92473e-08,0
2.93673e-08,0
2.94872e-08,1
2.96072e-08,0
2.97271e-08,0
2.9847e-08,0
2.9967e-08,1
3.00869e-08,1
3.02069e-08,0
3.03268e-08,0
3.04468e-08,0
3.05667e-08,0
3.06866e-08,0
3.08066e-08,0
3.09265e-08,0
3.10465e-08,0
3.11664e-08,0
3.12863e-08,0
3.14063e-08,0
3.15262e-08,0
3.16462e-08,0
3.17661e-08,0
3.18861e-08,0
3.2006e-08,0
3.21259e-08,0
3.22459e-08,0
3.23658e-08,0
3.24858e-08,0
3.26057e-08,0
3.27256e-08,0
3.28456e-08,0
3.29655e-08,0
3.30855e-08,0
3.32054e-08,0
3.33253e-08,0
3.34453e-08,0
3.35652e-08,0
3.36852e-08,0
3.38051e-08,0
3.39251e-08,0
3.4045e-08,0
3.41649e-08,0
3.42849e-08,0
3.44048e-08,0
3.45248e-08,0
3.46447e-08,0
3.47646e-08,0
3.48846e-08,0
3.50045e-08,0
3.51245e-08,0
3.52444e-08,0
3.53643e-08,0
3.54843e-08,0
3.56042e-08,0
3.57242e-08,0
3.58441e-08,0
3.59641e-08,0
3.6084e-08,0
3.62039e-08,0
3.63239e-08,1
3.64438e-08,0
