Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.52012500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.70080500e-06,-1.67500000e-03
-5.66080500e-06,1.73906250e-03
-5.62080500e-06,7.62500000e-04
-5.58080500e-06,-2.11718750e-03
-5.54080500e-06,-1.25781250e-03
-5.50080500e-06,1.03125000e-04
-5.46080500e-06,-6.92187500e-04
-5.42080500e-06,-2.58125000e-03
-5.38080500e-06,-3.15156250e-03
-5.34080500e-06,-3.62500000e-04
-5.30080500e-06,5.68750000e-04
-5.26080500e-06,-1.17031250e-03
-5.22080500e-06,3.00625000e-03
-5.18080500e-06,4.61875000e-03
-5.14080500e-06,2.25156250e-03
-5.10080500e-06,3.10156250e-03
-5.06080500e-06,1.77656250e-03
-5.02080500e-06,-6.53125000e-04
-4.98080500e-06,1.15156250e-03
-4.94080500e-06,-9.10937500e-04
-4.90080500e-06,-1.22500000e-03
-4.86080500e-06,-2.45781250e-03
-4.82080500e-06,-1.60468750e-03
-4.78080500e-06,1.67656250e-03
-4.74080500e-06,-1.18125000e-03
-4.70080500e-06,-2.04687500e-03
-4.66080500e-06,-1.91875000e-03
-4.62080500e-06,-1.70937500e-03
-4.58080500e-06,-7.28125000e-04
-4.54080500e-06,-2.39062500e-04
-4.50080500e-06,1.42343750e-03
-4.46080500e-06,1.50156250e-03
-4.42080500e-06,9.92187500e-04
-4.38080500e-06,1.40156250e-03
-4.34080500e-06,-6.39062500e-04
-4.30080500e-06,2.67656250e-03
-4.26080500e-06,1.09218750e-03
-4.22080500e-06,1.69531250e-03
-4.18080500e-06,3.25000000e-04
-4.14080500e-06,-1.65937500e-03
-4.10080500e-06,-3.23750000e-03
-4.06080500e-06,-2.77500000e-03
-4.02080500e-06,3.20625000e-03
-3.98080500e-06,9.86093750e-03
-3.94080500e-06,3.95156250e-03
-3.90080500e-06,1.90468750e-03
-3.86080500e-06,4.53125000e-04
-3.82080500e-06,-2.99687500e-03
-3.78080500e-06,-3.41406250e-03
-3.74080500e-06,-1.86562500e-03
-3.70080500e-06,-1.81875000e-03
-3.66080500e-06,4.29687500e-03
-3.62080500e-06,7.41406250e-03
-3.58080500e-06,3.65156250e-03
-3.54080500e-06,2.80312500e-03
-3.50080500e-06,3.38750000e-03
-3.46080500e-06,-1.01718750e-03
-3.42080500e-06,-2.59687500e-03
-3.38080500e-06,-2.67187500e-03
-3.34080500e-06,-5.97031250e-03
-3.30080500e-06,-2.86406250e-03
-3.26080500e-06,-2.14062500e-04
-3.22080500e-06,5.76562500e-04
-3.18080500e-06,-1.28593750e-03
-3.14080500e-06,-2.93593750e-03
-3.10080500e-06,-6.17187500e-04
-3.06080500e-06,2.23906250e-03
-3.02080500e-06,-1.55625000e-03
-2.98080500e-06,3.48437500e-04
-2.94080500e-06,1.67343750e-03
-2.90080500e-06,5.93750000e-05
-2.86080500e-06,-1.95312500e-04
-2.82080500e-06,-2.10937500e-04
-2.78080500e-06,-2.03906250e-03
-2.74080500e-06,6.43750000e-04
-2.70080500e-06,4.99531250e-03
-2.66080500e-06,3.60312500e-03
-2.62080500e-06,4.54218750e-03
-2.58080500e-06,-4.85937500e-04
-2.54080500e-06,-3.87656250e-03
-2.50080500e-06,-5.23593750e-03
-2.46080500e-06,-4.21875000e-03
-2.42080500e-06,-1.43906250e-03
-2.38080500e-06,-8.79687500e-04
-2.34080500e-06,2.90625000e-04
-2.30080500e-06,2.18750000e-05
-2.26080500e-06,8.76562500e-04
-2.22080500e-06,-1.24062500e-03
-2.18080500e-06,-3.39062500e-04
-2.14080500e-06,7.03125000e-04
-2.10080500e-06,8.95312500e-04
-2.06080500e-06,8.75000000e-05
-2.02080500e-06,-7.76562500e-04
-1.98080500e-06,-4.92187500e-04
-1.94080500e-06,-1.51718750e-03
-1.90080500e-06,-1.97500000e-03
-1.86080500e-06,-2.37500000e-03
-1.82080500e-06,-2.95625000e-03
-1.78080500e-06,-1.47968750e-03
-1.74080500e-06,-1.37031250e-03
-1.70080500e-06,1.11250000e-03
-1.66080500e-06,2.52343750e-03
-1.62080500e-06,-2.53125000e-04
-1.58080500e-06,-1.46406250e-03
-1.54080500e-06,-3.70000000e-03
-1.50080500e-06,-6.37500000e-04
-1.46080500e-06,2.89687500e-03
-1.42080500e-06,1.23125000e-03
-1.38080500e-06,2.85937500e-03
-1.34080500e-06,4.00468750e-03
-1.30080500e-06,1.74843750e-03
-1.26080500e-06,1.16718750e-03
-1.22080500e-06,-1.27500000e-03
-1.18080500e-06,-4.59375000e-04
-1.14080500e-06,-1.93125000e-03
-1.10080500e-06,-1.56718750e-03
-1.06080500e-06,-3.96093750e-03
-1.02080500e-06,-3.38906250e-03
-9.80805000e-07,5.56250000e-04
-9.40805000e-07,-8.59375000e-05
-9.00805000e-07,9.68750000e-05
-8.60805000e-07,1.91250000e-03
-8.20805000e-07,-5.31250000e-04
-7.80805000e-07,1.13437500e-03
-7.40805000e-07,1.74218750e-03
-7.00805000e-07,-3.12500000e-04
-6.60805000e-07,-1.89375000e-03
-6.20805000e-07,-1.04375000e-03
-5.80805000e-07,1.76093750e-03
-5.40805000e-07,1.80000000e-03
