Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.02012500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.68080500e-06,-8.21718750e-03
-5.64080500e-06,-7.22812500e-03
-5.60080500e-06,-7.02656250e-03
-5.56080500e-06,-3.95312500e-04
-5.52080500e-06,5.66093750e-03
-5.48080500e-06,5.08281250e-03
-5.44080500e-06,-1.56250000e-04
-5.40080500e-06,-4.81250000e-04
-5.36080500e-06,9.46093750e-03
-5.32080500e-06,1.28656250e-02
-5.28080500e-06,2.93125000e-03
-5.24080500e-06,-7.44375000e-03
-5.20080500e-06,-5.80156250e-03
-5.16080500e-06,-4.34687500e-03
-5.12080500e-06,-5.83750000e-03
-5.08080500e-06,-1.65625000e-03
-5.04080500e-06,-1.03437500e-03
-5.00080500e-06,-3.00156250e-03
-4.96080500e-06,4.53125000e-05
-4.92080500e-06,-1.12343750e-03
-4.88080500e-06,-1.10937500e-04
-4.84080500e-06,3.68437500e-03
-4.80080500e-06,3.53593750e-03
-4.76080500e-06,-2.65625000e-05
-4.72080500e-06,-4.59687500e-03
-4.68080500e-06,-1.77656250e-03
-4.64080500e-06,4.72187500e-03
-4.60080500e-06,8.17812500e-03
-4.56080500e-06,3.66250000e-03
-4.52080500e-06,-2.90468750e-03
-4.48080500e-06,-5.08125000e-03
-4.44080500e-06,-2.63125000e-03
-4.40080500e-06,-5.09531250e-03
-4.36080500e-06,-3.39062500e-03
-4.32080500e-06,1.70000000e-03
-4.28080500e-06,8.46875000e-04
-4.24080500e-06,3.12500000e-06
-4.20080500e-06,3.79062500e-03
-4.16080500e-06,4.65000000e-03
-4.12080500e-06,2.08750000e-03
-4.08080500e-06,5.62500000e-05
-4.04080500e-06,-4.46406250e-03
-4.00080500e-06,-6.75781250e-03
-3.96080500e-06,-4.29531250e-03
-3.92080500e-06,-2.14687500e-03
-3.88080500e-06,-4.23437500e-03
-3.84080500e-06,-2.43437500e-03
-3.80080500e-06,2.87968750e-03
-3.76080500e-06,3.39687500e-03
-3.72080500e-06,0.00000000e+00
-3.68080500e-06,3.13906250e-03
-3.64080500e-06,9.26093750e-03
-3.60080500e-06,1.16140625e-02
-3.56080500e-06,4.01093750e-03
-3.52080500e-06,-7.14531250e-03
-3.48080500e-06,-1.02031250e-02
-3.44080500e-06,-9.56093750e-03
-3.40080500e-06,-5.44531250e-03
-3.36080500e-06,-3.55468750e-03
-3.32080500e-06,-9.01562500e-04
-3.28080500e-06,1.02500000e-03
-3.24080500e-06,1.87343750e-03
-3.20080500e-06,1.03593750e-03
-3.16080500e-06,2.50625000e-03
-3.12080500e-06,2.37968750e-03
-3.08080500e-06,1.89531250e-03
-3.04080500e-06,-3.19062500e-03
-3.00080500e-06,-3.99531250e-03
-2.96080500e-06,-4.86250000e-03
-2.92080500e-06,-4.38281250e-03
-2.88080500e-06,1.45937500e-03
-2.84080500e-06,1.45468750e-03
-2.80080500e-06,5.31562500e-03
-2.76080500e-06,7.27031250e-03
-2.72080500e-06,3.07968750e-03
-2.68080500e-06,-1.14375000e-03
-2.64080500e-06,-4.19531250e-03
-2.60080500e-06,-7.34375000e-03
-2.56080500e-06,-5.38593750e-03
-2.52080500e-06,-4.42812500e-03
-2.48080500e-06,-2.57656250e-03
-2.44080500e-06,-5.07812500e-04
-2.40080500e-06,2.17187500e-04
-2.36080500e-06,-3.87500000e-04
-2.32080500e-06,1.51093750e-03
-2.28080500e-06,6.78125000e-03
-2.24080500e-06,5.57656250e-03
-2.20080500e-06,-1.22187500e-03
-2.16080500e-06,1.52656250e-03
-2.12080500e-06,2.29687500e-03
-2.08080500e-06,6.21875000e-04
-2.04080500e-06,-3.17656250e-03
-2.00080500e-06,-4.43281250e-03
-1.96080500e-06,-1.74843750e-03
-1.92080500e-06,-2.40625000e-03
-1.88080500e-06,-2.05781250e-03
-1.84080500e-06,-1.03593750e-03
-1.80080500e-06,3.40781250e-03
-1.76080500e-06,3.22656250e-03
-1.72080500e-06,1.87656250e-03
-1.68080500e-06,-1.22031250e-03
-1.64080500e-06,-2.00000000e-03
-1.60080500e-06,-2.18593750e-03
-1.56080500e-06,-3.75000000e-05
-1.52080500e-06,-4.53125000e-05
-1.48080500e-06,1.00156250e-03
-1.44080500e-06,2.71875000e-03
-1.40080500e-06,2.52031250e-03
-1.36080500e-06,8.73437500e-04
-1.32080500e-06,-7.00000000e-04
-1.28080500e-06,-2.23437500e-04
-1.24080500e-06,2.71875000e-04
-1.20080500e-06,1.11875000e-03
-1.16080500e-06,-2.16875000e-03
-1.12080500e-06,-2.35000000e-03
-1.08080500e-06,6.46093750e-03
-1.04080500e-06,6.31718750e-03
-1.00080500e-06,-4.57812500e-04
-9.60805000e-07,-4.01093750e-03
-9.20805000e-07,-5.82812500e-03
-8.80805000e-07,-3.41875000e-03
-8.40805000e-07,5.21875000e-04
-8.00805000e-07,2.03750000e-03
-7.60805000e-07,3.03281250e-03
-7.20805000e-07,-5.68750000e-04
-6.80805000e-07,-3.58125000e-03
-6.40805000e-07,-4.43125000e-03
-6.00805000e-07,-3.32343750e-03
-5.60805000e-07,-7.34375000e-05
-5.20805000e-07,1.28593750e-03
