Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.78812500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.71152500e-06,-3.84062500e-03
-5.67152500e-06,-2.93281250e-03
-5.63152500e-06,-2.07031250e-03
-5.59152500e-06,4.31093750e-03
-5.55152500e-06,5.99843750e-03
-5.51152500e-06,8.98906250e-03
-5.47152500e-06,1.36250000e-03
-5.43152500e-06,-4.97187500e-03
-5.39152500e-06,-4.18281250e-03
-5.35152500e-06,-1.64531250e-03
-5.31152500e-06,-2.48437500e-03
-5.27152500e-06,-2.84375000e-03
-5.23152500e-06,3.07968750e-03
-5.19152500e-06,1.20937500e-03
-5.15152500e-06,2.31718750e-03
-5.11152500e-06,-3.21875000e-04
-5.07152500e-06,-3.87500000e-03
-5.03152500e-06,-5.35781250e-03
-4.99152500e-06,-3.45468750e-03
-4.95152500e-06,2.52500000e-03
-4.91152500e-06,5.89531250e-03
-4.87152500e-06,1.81406250e-03
-4.83152500e-06,-9.57812500e-04
-4.79152500e-06,-8.70312500e-04
-4.75152500e-06,2.78593750e-03
-4.71152500e-06,1.28593750e-03
-4.67152500e-06,-1.88593750e-03
-4.63152500e-06,-1.56250000e-03
-4.59152500e-06,-3.08593750e-03
-4.55152500e-06,-3.25312500e-03
-4.51152500e-06,-2.87812500e-03
-4.47152500e-06,-2.17187500e-04
-4.43152500e-06,-2.27343750e-03
-4.39152500e-06,-1.14062500e-03
-4.35152500e-06,-2.50781250e-03
-4.31152500e-06,-8.48437500e-04
-4.27152500e-06,-2.10937500e-04
-4.23152500e-06,3.53125000e-04
-4.19152500e-06,7.04687500e-04
-4.15152500e-06,-2.10312500e-03
-4.11152500e-06,1.02031250e-03
-4.07152500e-06,4.48593750e-03
-4.03152500e-06,7.77343750e-03
-3.99152500e-06,6.93125000e-03
-3.95152500e-06,-2.20781250e-03
-3.91152500e-06,-3.55625000e-03
-3.87152500e-06,-2.54687500e-04
-3.83152500e-06,-2.41562500e-03
-3.79152500e-06,-3.91250000e-03
-3.75152500e-06,-3.65468750e-03
-3.71152500e-06,-1.59843750e-03
-3.67152500e-06,6.68750000e-04
-3.63152500e-06,2.84375000e-03
-3.59152500e-06,8.28125000e-04
-3.55152500e-06,1.87968750e-03
-3.51152500e-06,-8.43750000e-05
-3.47152500e-06,5.10937500e-04
-3.43152500e-06,9.68750000e-04
-3.39152500e-06,2.63125000e-03
-3.35152500e-06,6.23750000e-03
-3.31152500e-06,2.10312500e-03
-3.27152500e-06,-4.73750000e-03
-3.23152500e-06,-7.45625000e-03
-3.19152500e-06,-2.52656250e-03
-3.15152500e-06,1.45312500e-03
-3.11152500e-06,-7.81250000e-04
-3.07152500e-06,-3.43125000e-03
-3.03152500e-06,-4.59687500e-03
-2.99152500e-06,-3.99218750e-03
-2.95152500e-06,-3.66093750e-03
-2.91152500e-06,5.17343750e-03
-2.87152500e-06,5.67500000e-03
-2.83152500e-06,5.17187500e-04
-2.79152500e-06,-3.37500000e-04
-2.75152500e-06,6.87343750e-03
-2.71152500e-06,2.58437500e-03
-2.67152500e-06,-5.96875000e-04
-2.63152500e-06,-2.50937500e-03
-2.59152500e-06,-7.21093750e-03
-2.55152500e-06,-8.31250000e-04
-2.51152500e-06,3.02812500e-03
-2.47152500e-06,1.74687500e-03
-2.43152500e-06,-8.46875000e-04
-2.39152500e-06,-1.48125000e-03
-2.35152500e-06,-2.67812500e-03
-2.31152500e-06,-3.34375000e-03
-2.27152500e-06,-5.07812500e-04
-2.23152500e-06,-2.17656250e-03
-2.19152500e-06,1.51562500e-03
-2.15152500e-06,3.96875000e-04
-2.11152500e-06,1.08593750e-03
-2.07152500e-06,2.25156250e-03
-2.03152500e-06,-6.10937500e-04
-1.99152500e-06,2.89218750e-03
-1.95152500e-06,4.36250000e-03
-1.91152500e-06,2.76875000e-03
-1.87152500e-06,-1.31562500e-03
-1.83152500e-06,-6.53750000e-03
-1.79152500e-06,-5.30312500e-03
-1.75152500e-06,-2.32187500e-03
-1.71152500e-06,-1.56250000e-05
-1.67152500e-06,-3.31250000e-04
-1.63152500e-06,-2.80781250e-03
-1.59152500e-06,-3.52031250e-03
-1.55152500e-06,1.39062500e-04
-1.51152500e-06,8.25000000e-04
-1.47152500e-06,-9.53125000e-05
-1.43152500e-06,1.86406250e-03
-1.39152500e-06,5.67031250e-03
-1.35152500e-06,3.76250000e-03
-1.31152500e-06,2.85000000e-03
-1.27152500e-06,7.28125000e-03
-1.23152500e-06,7.55781250e-03
-1.19152500e-06,1.36406250e-03
-1.15152500e-06,-8.21406250e-03
-1.11152500e-06,-8.99062500e-03
-1.07152500e-06,-1.91562500e-03
-1.03152500e-06,-3.47500000e-03
-9.91525000e-07,-1.38593750e-03
-9.51525000e-07,-1.48437500e-03
-9.11525000e-07,-5.31250000e-05
-8.71525000e-07,-1.13125000e-03
-8.31525000e-07,-2.85937500e-04
-7.91525000e-07,-1.77812500e-03
-7.51525000e-07,-3.32656250e-03
-7.11525000e-07,5.82812500e-04
-6.71525000e-07,-8.34375000e-04
-6.31525000e-07,-1.65156250e-03
-5.91525000e-07,-1.73281250e-03
-5.51525000e-07,2.51562500e-03
