Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.00412500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.68016500e-06,-1.10625000e-03
-5.64016500e-06,-7.59375000e-04
-5.60016500e-06,6.73437500e-04
-5.56016500e-06,1.50781250e-03
-5.52016500e-06,1.25468750e-03
-5.48016500e-06,2.04531250e-03
-5.44016500e-06,5.56718750e-03
-5.40016500e-06,4.67343750e-03
-5.36016500e-06,1.17812500e-03
-5.32016500e-06,-4.82812500e-04
-5.28016500e-06,-2.23281250e-03
-5.24016500e-06,-1.53437500e-03
-5.20016500e-06,-4.99062500e-03
-5.16016500e-06,-1.60468750e-03
-5.12016500e-06,-3.42500000e-03
-5.08016500e-06,-1.30937500e-03
-5.04016500e-06,1.15468750e-03
-5.00016500e-06,-7.93750000e-04
-4.96016500e-06,-6.32812500e-04
-4.92016500e-06,4.09375000e-03
-4.88016500e-06,5.02656250e-03
-4.84016500e-06,2.93750000e-03
-4.80016500e-06,-9.54687500e-04
-4.76016500e-06,5.29687500e-04
-4.72016500e-06,-1.85312500e-03
-4.68016500e-06,-1.96875000e-03
-4.64016500e-06,-1.62187500e-03
-4.60016500e-06,2.66406250e-03
-4.56016500e-06,2.13437500e-03
-4.52016500e-06,-7.40625000e-04
-4.48016500e-06,-9.78125000e-04
-4.44016500e-06,-1.78750000e-03
-4.40016500e-06,-6.15625000e-04
-4.36016500e-06,-2.34375000e-04
-4.32016500e-06,-4.68750000e-04
-4.28016500e-06,-4.47968750e-03
-4.24016500e-06,1.08281250e-03
-4.20016500e-06,2.56875000e-03
-4.16016500e-06,-8.37500000e-04
-4.12016500e-06,-6.39062500e-04
-4.08016500e-06,-2.30000000e-03
-4.04016500e-06,1.67187500e-03
-4.00016500e-06,4.14375000e-03
-3.96016500e-06,7.29687500e-04
-3.92016500e-06,-2.49375000e-03
-3.88016500e-06,-3.36562500e-03
-3.84016500e-06,-1.53281250e-03
-3.80016500e-06,1.65625000e-04
-3.76016500e-06,2.51406250e-03
-3.72016500e-06,2.32968750e-03
-3.68016500e-06,-1.29062500e-03
-3.64016500e-06,-1.90000000e-03
-3.60016500e-06,-8.54687500e-04
-3.56016500e-06,3.90625000e-04
-3.52016500e-06,1.49062500e-03
-3.48016500e-06,-3.43750000e-05
-3.44016500e-06,4.79687500e-04
-3.40016500e-06,3.10937500e-04
-3.36016500e-06,-1.26093750e-03
-3.32016500e-06,-1.73593750e-03
-3.28016500e-06,2.28281250e-03
-3.24016500e-06,5.11093750e-03
-3.20016500e-06,-1.09687500e-03
-3.16016500e-06,-1.12031250e-03
-3.12016500e-06,-2.71875000e-04
-3.08016500e-06,-3.76562500e-04
-3.04016500e-06,-2.41406250e-03
-3.00016500e-06,-2.83125000e-03
-2.96016500e-06,-2.89375000e-03
-2.92016500e-06,-3.52500000e-03
-2.88016500e-06,-1.56250000e-05
-2.84016500e-06,2.67187500e-03
-2.80016500e-06,1.12187500e-03
-2.76016500e-06,-3.50000000e-04
-2.72016500e-06,3.45312500e-04
-2.68016500e-06,3.29687500e-04
-2.64016500e-06,2.98906250e-03
-2.60016500e-06,-1.82812500e-04
-2.56016500e-06,-1.24531250e-03
-2.52016500e-06,-6.39062500e-04
-2.48016500e-06,-2.32812500e-04
-2.44016500e-06,-2.34375000e-05
-2.40016500e-06,1.07187500e-03
-2.36016500e-06,2.50781250e-03
-2.32016500e-06,-1.45312500e-03
-2.28016500e-06,-3.36406250e-03
-2.24016500e-06,-1.59375000e-03
-2.20016500e-06,-1.12343750e-03
-2.16016500e-06,2.42812500e-03
-2.12016500e-06,1.80156250e-03
-2.08016500e-06,1.89062500e-04
-2.04016500e-06,2.86875000e-03
-2.00016500e-06,4.04062500e-03
-1.96016500e-06,3.10312500e-03
-1.92016500e-06,1.45312500e-04
-1.88016500e-06,-3.27343750e-03
-1.84016500e-06,-2.29843750e-03
-1.80016500e-06,-1.82343750e-03
-1.76016500e-06,-4.30468750e-03
-1.72016500e-06,-2.01718750e-03
-1.68016500e-06,-4.40625000e-04
-1.64016500e-06,-5.70312500e-04
-1.60016500e-06,-3.04843750e-03
-1.56016500e-06,-1.22968750e-03
-1.52016500e-06,2.04687500e-04
-1.48016500e-06,2.88593750e-03
-1.44016500e-06,1.26250000e-03
-1.40016500e-06,-1.51093750e-03
-1.36016500e-06,5.93750000e-04
-1.32016500e-06,4.35937500e-04
-1.28016500e-06,-1.27343750e-03
-1.24016500e-06,-8.40625000e-04
-1.20016500e-06,-7.93750000e-04
-1.16016500e-06,4.68750000e-06
-1.12016500e-06,-2.87500000e-04
-1.08016500e-06,1.21718750e-03
-1.04016500e-06,4.62500000e-04
-1.00016500e-06,-3.43906250e-03
-9.60165000e-07,-3.24843750e-03
-9.20165000e-07,-1.82500000e-03
-8.80165000e-07,-1.30312500e-03
-8.40165000e-07,1.43750000e-04
-8.00165000e-07,2.24375000e-03
-7.60165000e-07,1.10156250e-03
-7.20165000e-07,1.07968750e-03
-6.80165000e-07,1.40156250e-03
-6.40165000e-07,-1.01093750e-03
-6.00165000e-07,-2.67343750e-03
-5.60165000e-07,-8.01562500e-04
-5.20165000e-07,2.26406250e-03
