Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.03212500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.68128500e-06,-1.17187500e-03
-5.64128500e-06,-2.00937500e-03
-5.60128500e-06,-2.41406250e-03
-5.56128500e-06,-2.69843750e-03
-5.52128500e-06,3.40625000e-04
-5.48128500e-06,1.95312500e-03
-5.44128500e-06,-2.75000000e-03
-5.40128500e-06,-2.53125000e-04
-5.36128500e-06,2.93593750e-03
-5.32128500e-06,-3.07812500e-04
-5.28128500e-06,3.13750000e-03
-5.24128500e-06,-2.38906250e-03
-5.20128500e-06,-5.28125000e-03
-5.16128500e-06,1.42187500e-04
-5.12128500e-06,5.59375000e-04
-5.08128500e-06,-1.70312500e-04
-5.04128500e-06,1.95781250e-03
-5.00128500e-06,1.00531250e-02
-4.96128500e-06,5.24531250e-03
-4.92128500e-06,-3.92031250e-03
-4.88128500e-06,-3.04687500e-03
-4.84128500e-06,3.63437500e-03
-4.80128500e-06,4.92656250e-03
-4.76128500e-06,-2.06093750e-03
-4.72128500e-06,-7.38593750e-03
-4.68128500e-06,-9.22968750e-03
-4.64128500e-06,-6.72812500e-03
-4.60128500e-06,2.53125000e-04
-4.56128500e-06,4.43906250e-03
-4.52128500e-06,4.75156250e-03
-4.48128500e-06,1.65406250e-02
-4.44128500e-06,2.16093750e-02
-4.40128500e-06,8.47187500e-03
-4.36128500e-06,-8.59218750e-03
-4.32128500e-06,-1.68718750e-02
-4.28128500e-06,-1.09109375e-02
-4.24128500e-06,-7.56093750e-03
-4.20128500e-06,-4.68750000e-03
-4.16128500e-06,-2.14062500e-04
-4.12128500e-06,-1.52187500e-03
-4.08128500e-06,-4.31406250e-03
-4.04128500e-06,-1.73437500e-03
-4.00128500e-06,-2.01562500e-04
-3.96128500e-06,-7.96875000e-05
-3.92128500e-06,3.27187500e-03
-3.88128500e-06,3.92187500e-04
-3.84128500e-06,2.01875000e-03
-3.80128500e-06,2.80156250e-03
-3.76128500e-06,1.98750000e-03
-3.72128500e-06,9.59375000e-04
-3.68128500e-06,-1.51250000e-03
-3.64128500e-06,-3.30468750e-03
-3.60128500e-06,2.12500000e-04
-3.56128500e-06,3.25625000e-03
-3.52128500e-06,5.79375000e-03
-3.48128500e-06,2.31562500e-03
-3.44128500e-06,-2.45312500e-03
-3.40128500e-06,-5.13125000e-03
-3.36128500e-06,-2.72500000e-03
-3.32128500e-06,2.47812500e-03
-3.28128500e-06,5.30468750e-03
-3.24128500e-06,2.19218750e-03
-3.20128500e-06,-2.33906250e-03
-3.16128500e-06,-3.45156250e-03
-3.12128500e-06,-3.15781250e-03
-3.08128500e-06,1.10000000e-03
-3.04128500e-06,2.85781250e-03
-3.00128500e-06,9.75000000e-04
-2.96128500e-06,-1.65781250e-03
-2.92128500e-06,-5.95312500e-04
-2.88128500e-06,-1.12812500e-03
-2.84128500e-06,-2.90625000e-03
-2.80128500e-06,-1.42968750e-03
-2.76128500e-06,3.82812500e-04
-2.72128500e-06,-1.86718750e-03
-2.68128500e-06,-2.16093750e-03
-2.64128500e-06,-2.42656250e-03
-2.60128500e-06,1.03750000e-03
-2.56128500e-06,2.59843750e-03
-2.52128500e-06,2.73750000e-03
-2.48128500e-06,2.33125000e-03
-2.44128500e-06,1.12500000e-03
-2.40128500e-06,-1.17031250e-03
-2.36128500e-06,9.53125000e-04
-2.32128500e-06,-8.93750000e-04
-2.28128500e-06,-1.29843750e-03
-2.24128500e-06,3.08437500e-03
-2.20128500e-06,5.48437500e-03
-2.16128500e-06,2.02187500e-03
-2.12128500e-06,-4.25781250e-03
-2.08128500e-06,-4.66718750e-03
-2.04128500e-06,-5.23750000e-03
-2.00128500e-06,-5.73906250e-03
-1.96128500e-06,1.21875000e-04
-1.92128500e-06,4.25000000e-03
-1.88128500e-06,4.55937500e-03
-1.84128500e-06,7.47812500e-03
-1.80128500e-06,1.56250000e-04
-1.76128500e-06,-3.96718750e-03
-1.72128500e-06,-4.77187500e-03
-1.68128500e-06,-3.45156250e-03
-1.64128500e-06,-1.74375000e-03
-1.60128500e-06,-1.10625000e-03
-1.56128500e-06,2.23750000e-03
-1.52128500e-06,6.92031250e-03
-1.48128500e-06,6.57968750e-03
-1.44128500e-06,-8.04687500e-04
-1.40128500e-06,-1.26093750e-03
-1.36128500e-06,-3.88593750e-03
-1.32128500e-06,-5.79843750e-03
-1.28128500e-06,-7.46875000e-04
-1.24128500e-06,-2.52031250e-03
-1.20128500e-06,-2.02500000e-03
-1.16128500e-06,5.02968750e-03
-1.12128500e-06,5.10312500e-03
-1.08128500e-06,1.13906250e-03
-1.04128500e-06,-1.03593750e-03
-1.00128500e-06,5.15625000e-04
-9.61285000e-07,9.11250000e-03
-9.21285000e-07,1.38406250e-02
-8.81285000e-07,1.00468750e-03
-8.41285000e-07,-9.19062500e-03
-8.01285000e-07,-2.25468750e-03
-7.61285000e-07,-3.42187500e-04
-7.21285000e-07,-4.80468750e-03
-6.81285000e-07,-2.76875000e-03
-6.41285000e-07,8.06250000e-04
-6.01285000e-07,-3.09375000e-03
-5.61285000e-07,-5.38906250e-03
-5.21285000e-07,-3.97968750e-03
