Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.88812500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.71552500e-06,-7.81250000e-06
-5.67552500e-06,-4.98281250e-03
-5.63552500e-06,-4.27187500e-03
-5.59552500e-06,-1.58906250e-03
-5.55552500e-06,-4.76562500e-04
-5.51552500e-06,2.39218750e-03
-5.47552500e-06,6.12968750e-03
-5.43552500e-06,3.66718750e-03
-5.39552500e-06,-2.77968750e-03
-5.35552500e-06,-5.37968750e-03
-5.31552500e-06,-3.61718750e-03
-5.27552500e-06,-2.50000000e-05
-5.23552500e-06,1.87500000e-04
-5.19552500e-06,-7.03125000e-05
-5.15552500e-06,1.73593750e-03
-5.11552500e-06,2.65312500e-03
-5.07552500e-06,2.68281250e-03
-5.03552500e-06,-1.32343750e-03
-4.99552500e-06,-5.40781250e-03
-4.95552500e-06,-5.10937500e-03
-4.91552500e-06,-2.59531250e-03
-4.87552500e-06,-1.66250000e-03
-4.83552500e-06,3.22812500e-03
-4.79552500e-06,2.71093750e-03
-4.75552500e-06,-1.63437500e-03
-4.71552500e-06,1.10937500e-04
-4.67552500e-06,3.07812500e-04
-4.63552500e-06,2.62031250e-03
-4.59552500e-06,1.75781250e-03
-4.55552500e-06,1.09843750e-03
-4.51552500e-06,2.20312500e-03
-4.47552500e-06,4.22812500e-03
-4.43552500e-06,2.00468750e-03
-4.39552500e-06,-1.03281250e-03
-4.35552500e-06,-1.96875000e-04
-4.31552500e-06,2.10156250e-03
-4.27552500e-06,3.18437500e-03
-4.23552500e-06,2.76718750e-03
-4.19552500e-06,-1.79218750e-03
-4.15552500e-06,-4.89375000e-03
-4.11552500e-06,-5.14218750e-03
-4.07552500e-06,-3.20937500e-03
-4.03552500e-06,-6.35937500e-04
-3.99552500e-06,6.62500000e-04
-3.95552500e-06,-3.12500000e-04
-3.91552500e-06,3.84375000e-04
-3.87552500e-06,-6.21875000e-04
-3.83552500e-06,-3.41406250e-03
-3.79552500e-06,-1.70312500e-04
-3.75552500e-06,1.36406250e-03
-3.71552500e-06,-5.67187500e-04
-3.67552500e-06,-7.00000000e-04
-3.63552500e-06,-1.93750000e-04
-3.59552500e-06,2.64375000e-03
-3.55552500e-06,6.27656250e-03
-3.51552500e-06,3.61875000e-03
-3.47552500e-06,-6.40625000e-04
-3.43552500e-06,-4.89218750e-03
-3.39552500e-06,-4.73281250e-03
-3.35552500e-06,-3.10937500e-03
-3.31552500e-06,-1.03750000e-03
-3.27552500e-06,1.80156250e-03
-3.23552500e-06,1.09531250e-03
-3.19552500e-06,-2.12968750e-03
-3.15552500e-06,-2.65625000e-03
-3.11552500e-06,4.06250000e-05
-3.07552500e-06,2.06562500e-03
-3.03552500e-06,1.33906250e-03
-2.99552500e-06,-1.86718750e-03
-2.95552500e-06,-1.82031250e-03
-2.91552500e-06,-2.62500000e-04
-2.87552500e-06,-1.09375000e-05
-2.83552500e-06,-1.86875000e-03
-2.79552500e-06,8.90625000e-05
-2.75552500e-06,-1.94687500e-03
-2.71552500e-06,-1.53593750e-03
-2.67552500e-06,1.27812500e-03
-2.63552500e-06,2.04843750e-03
-2.59552500e-06,2.85000000e-03
-2.55552500e-06,3.01093750e-03
-2.51552500e-06,3.25000000e-04
-2.47552500e-06,8.64062500e-04
-2.43552500e-06,-4.25000000e-04
-2.39552500e-06,-4.46875000e-04
-2.35552500e-06,-2.53906250e-03
-2.31552500e-06,-7.40625000e-04
-2.27552500e-06,1.54687500e-04
-2.23552500e-06,9.84375000e-04
-2.19552500e-06,-3.51562500e-04
-2.15552500e-06,1.57968750e-03
-2.11552500e-06,3.31250000e-04
-2.07552500e-06,-4.39062500e-04
-2.03552500e-06,-1.84375000e-03
-1.99552500e-06,-1.84375000e-03
-1.95552500e-06,-6.29687500e-04
-1.91552500e-06,1.39062500e-03
-1.87552500e-06,8.45312500e-04
-1.83552500e-06,8.37500000e-04
-1.79552500e-06,3.67187500e-03
-1.75552500e-06,5.34843750e-03
-1.71552500e-06,-2.42187500e-04
-1.67552500e-06,1.00781250e-03
-1.63552500e-06,2.11250000e-03
-1.59552500e-06,6.36875000e-03
-1.55552500e-06,1.89062500e-03
-1.51552500e-06,1.17187500e-04
-1.47552500e-06,5.46875000e-04
-1.43552500e-06,-3.11406250e-03
-1.39552500e-06,-4.11875000e-03
-1.35552500e-06,-3.77500000e-03
-1.31552500e-06,-2.33125000e-03
-1.27552500e-06,-1.23906250e-03
-1.23552500e-06,-2.46250000e-03
-1.19552500e-06,-3.02500000e-03
-1.15552500e-06,-1.33281250e-03
-1.11552500e-06,2.84375000e-04
-1.07552500e-06,2.04375000e-03
-1.03552500e-06,1.52343750e-03
-9.95525000e-07,-1.30625000e-03
-9.55525000e-07,-1.76093750e-03
-9.15525000e-07,4.70312500e-04
-8.75525000e-07,1.35312500e-03
-8.35525000e-07,-8.59375000e-04
-7.95525000e-07,-7.73437500e-04
-7.55525000e-07,-8.79687500e-04
-7.15525000e-07,-3.67812500e-03
-6.75525000e-07,-3.83281250e-03
-6.35525000e-07,9.06250000e-04
-5.95525000e-07,2.63906250e-03
-5.55525000e-07,3.93125000e-03
-5.15525000e-07,2.12500000e-03
