Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.46012500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.69840500e-06,8.89062500e-04
-5.65840500e-06,-3.25937500e-03
-5.61840500e-06,1.35312500e-03
-5.57840500e-06,8.12187500e-03
-5.53840500e-06,4.16718750e-03
-5.49840500e-06,-1.71875000e-04
-5.45840500e-06,5.39218750e-03
-5.41840500e-06,1.84593750e-02
-5.37840500e-06,5.19531250e-03
-5.33840500e-06,-9.46562500e-03
-5.29840500e-06,8.23437500e-04
-5.25840500e-06,5.27343750e-03
-5.21840500e-06,-3.81250000e-04
-5.17840500e-06,-1.15343750e-02
-5.13840500e-06,-5.57500000e-03
-5.09840500e-06,-6.49843750e-03
-5.05840500e-06,-2.70468750e-03
-5.01840500e-06,2.66875000e-03
-4.97840500e-06,1.01875000e-03
-4.93840500e-06,-1.96093750e-03
-4.89840500e-06,1.24687500e-03
-4.85840500e-06,8.93750000e-04
-4.81840500e-06,-2.62656250e-03
-4.77840500e-06,-3.08593750e-03
-4.73840500e-06,-3.28906250e-03
-4.69840500e-06,-3.81562500e-03
-4.65840500e-06,-1.69531250e-03
-4.61840500e-06,-1.23593750e-03
-4.57840500e-06,-2.06718750e-03
-4.53840500e-06,-1.01093750e-03
-4.49840500e-06,9.39062500e-04
-4.45840500e-06,7.20312500e-04
-4.41840500e-06,1.43750000e-04
-4.37840500e-06,2.26875000e-03
-4.33840500e-06,1.85312500e-03
-4.29840500e-06,-2.01250000e-03
-4.25840500e-06,-3.01093750e-03
-4.21840500e-06,-1.02656250e-03
-4.17840500e-06,-1.74843750e-03
-4.13840500e-06,-2.99218750e-03
-4.09840500e-06,-1.52343750e-03
-4.05840500e-06,-2.92343750e-03
-4.01840500e-06,-1.11406250e-03
-3.97840500e-06,-4.39062500e-04
-3.93840500e-06,-1.02812500e-03
-3.89840500e-06,6.09375000e-04
-3.85840500e-06,1.10937500e-03
-3.81840500e-06,2.00000000e-03
-3.77840500e-06,2.48750000e-03
-3.73840500e-06,4.82812500e-04
-3.69840500e-06,1.15000000e-03
-3.65840500e-06,2.22968750e-03
-3.61840500e-06,5.49531250e-03
-3.57840500e-06,7.97031250e-03
-3.53840500e-06,3.17187500e-03
-3.49840500e-06,-4.32031250e-03
-3.45840500e-06,-6.15468750e-03
-3.41840500e-06,-1.74531250e-03
-3.37840500e-06,3.42343750e-03
-3.33840500e-06,9.58593750e-03
-3.29840500e-06,6.70156250e-03
-3.25840500e-06,-2.77031250e-03
-3.21840500e-06,-7.50781250e-03
-3.17840500e-06,-8.70468750e-03
-3.13840500e-06,-5.77031250e-03
-3.09840500e-06,-5.78125000e-04
-3.05840500e-06,-1.14218750e-03
-3.01840500e-06,1.09375000e-03
-2.97840500e-06,2.84843750e-03
-2.93840500e-06,1.81250000e-04
-2.89840500e-06,-2.84062500e-03
-2.85840500e-06,-3.66250000e-03
-2.81840500e-06,8.21562500e-03
-2.77840500e-06,8.34218750e-03
-2.73840500e-06,9.53125000e-05
-2.69840500e-06,4.84062500e-03
-2.65840500e-06,8.84531250e-03
-2.61840500e-06,1.50250000e-02
-2.57840500e-06,7.36093750e-03
-2.53840500e-06,-8.22187500e-03
-2.49840500e-06,-1.79484375e-02
-2.45840500e-06,-1.61015625e-02
-2.41840500e-06,-1.04234375e-02
-2.37840500e-06,-4.09375000e-03
-2.33840500e-06,-7.73437500e-04
-2.29840500e-06,4.62500000e-04
-2.25840500e-06,-4.43750000e-04
-2.21840500e-06,-2.11718750e-03
-2.17840500e-06,-2.12812500e-03
-2.13840500e-06,8.70312500e-04
-2.09840500e-06,2.04375000e-03
-2.05840500e-06,1.59843750e-03
-2.01840500e-06,2.53281250e-03
-1.97840500e-06,-3.51562500e-04
-1.93840500e-06,-1.38281250e-03
-1.89840500e-06,-3.56093750e-03
-1.85840500e-06,8.32812500e-04
-1.81840500e-06,-1.53593750e-03
-1.77840500e-06,-4.09062500e-03
-1.73840500e-06,-1.46718750e-03
-1.69840500e-06,4.85000000e-03
-1.65840500e-06,1.13750000e-03
-1.61840500e-06,7.34375000e-04
-1.57840500e-06,9.06250000e-05
-1.53840500e-06,2.36093750e-03
-1.49840500e-06,5.13750000e-03
-1.45840500e-06,1.05625000e-03
-1.41840500e-06,-1.99062500e-03
-1.37840500e-06,-5.95312500e-03
-1.33840500e-06,-5.04531250e-03
-1.29840500e-06,-4.22656250e-03
-1.25840500e-06,-2.87968750e-03
-1.21840500e-06,-5.96875000e-04
-1.17840500e-06,1.75000000e-03
-1.13840500e-06,5.75156250e-03
-1.09840500e-06,8.98437500e-03
-1.05840500e-06,2.60312500e-03
-1.01840500e-06,-1.76093750e-03
-9.78405000e-07,4.65156250e-03
-9.38405000e-07,8.21718750e-03
-8.98405000e-07,1.23593750e-03
-8.58405000e-07,-6.54218750e-03
-8.18405000e-07,-7.55000000e-03
-7.78405000e-07,-5.93750000e-03
-7.38405000e-07,-2.39843750e-03
-6.98405000e-07,5.64375000e-03
-6.58405000e-07,3.60156250e-03
-6.18405000e-07,2.53125000e-03
-5.78405000e-07,-6.07812500e-04
-5.38405000e-07,-6.15468750e-03
-4.98405000e-07,-4.86093750e-03
